,DOI,parser,correctPlace,accurates,inaccurates
24,10.1371/journal.pone.0040679,locatext,a 150-km long transect (18¡37_16NÐ92¡42_28W to 18¡30_20NÐ91¡28_03W),0.0,2831.0
25,10.1371/journal.pone.0036196,locatext," University of North Carolina at Chapel Hill’s Institute of Marine Sciences (IMS) in Morehead City, NC",49.0,2134.0
26,10.1371/journal.pone.0030506,locatext,"16¡39.49_N, 95¡0.66_W",2.0,3613.0
27,10.1371/journal.pone.0024107,locatext,Ranomafana National Park (RNP) is located between 47¡ 18_Ð47¡ 37_E and 21¡ 02_Ð21¡ 25 SÊ,0.0,4549.0
28,10.1371/journal.pone.0020078,locatext,"E 116¡42_, N 43¡38_,",2.0,1933.0
29,10.1371/journal.pone.0017476,locatext,German site of the BIODEPTH project,0.0,2564.0
30,10.1371/journal.pone.0013666,locatext," Atlantic Plateau of São Paulo, Brazil",0.0,8780.0
31,10.1371/journal.pone.0013382,locatext,"50¡57_3.09_N, 11¡37_23.49_E",2.0,2854.0
32,10.1371/journal.pone.0146228,locatext,"45¡03ÕN, 142¡07ÕE",2.0,3159.0
33,10.1371/journal.pone.0138696,locatext,coral communities of Moorea Island (French Polynesia),0.0,3649.0
34,10.1371/journal.pone.0106529,locatext,"50¡55_ N, 11¡35_ E",2.0,2493.0
35,10.1371/journal.pone.0104060,locatext,Ticino near Locarno (southern Switzerland).,0.0,940.0
36,10.1371/journal.pone.0083407,locatext,"42¡24ÕN, 85¡24ÕW",35.0,4477.0
37,10.1371/journal.pone.0066653,locatext,N: 31° 33.527; W: 114° 17.866,2.0,3573.0
38,10.1371/journal.pone.0000295,locatext,Australia,0.0,2216.0
39,10.1371/journal.pone.0000295,locatext,Sanfrancisco Bay,32.0,2184.0
40,10.1371/journal.pone.0000295,locatext,Wadden Sea,0.0,2216.0
41,10.1371/journal.pone.0000295,locatext,Gulf of the Farallones National Marine Sanctuary,32.0,2184.0
42,10.1371/journal.pone.0154613,locatext,Algiers,0.0,4015.0
43,10.1371/journal.pone.0154613,locatext,Beijing,0.0,4015.0
44,10.1371/journal.pone.0154613,locatext,Beunos Aires,0.0,4015.0
45,10.1371/journal.pone.0154613,locatext,Cairo,0.0,4015.0
46,10.1371/journal.pone.0154613,locatext,Guatemala City,0.0,4015.0
47,10.1371/journal.pone.0154613,locatext,Istanbul,0.0,4015.0
48,10.1371/journal.pone.0154613,locatext,London,0.0,4015.0
49,10.1371/journal.pone.0154613,locatext,Manila,0.0,4015.0
50,10.1371/journal.pone.0154613,locatext,Mexico City,0.0,4015.0
51,10.1371/journal.pone.0154613,locatext,Moscow,0.0,4015.0
52,10.1371/journal.pone.0154613,locatext,Mumbai,0.0,4015.0
53,10.1371/journal.pone.0154613,locatext,Paris,0.0,4015.0
54,10.1371/journal.pone.0154613,locatext,Warsaw,0.0,4015.0
55,10.1371/journal.pone.0154613,locatext,Santiago,0.0,4015.0
56,10.1371/journal.pone.0154613,locatext,Shanghai,0.0,4015.0
57,10.1371/journal.pone.0154613,locatext,Sydney,0.0,4015.0
58,10.1371/journal.pone.0152883,locatext,La Selva Biological Station,0.0,2721.0
59,10.1371/journal.pone.0152335,locatext,"145.44° E, 14.683° S",2.0,1838.0
60,10.1371/journal.pone.0150111,locatext,48°06’– 49°7’ N; 2°23’– 3°32’ W,0.0,2610.0
61,10.1371/journal.pone.0145598,locatext,"0°53S, 52°36W",2.0,1930.0
62,10.1371/journal.pone.0147909,locatext,"52°29’29”W, 22°24’09”S",2.0,7331.0
63,10.1371/journal.pone.0141387,locatext,"4°35?S, 79°42?W",2.0,5277.0
64,10.1371/journal.pone.0142784,locatext,"Latitude: -4.44°, Longitude: 35.40°",4.0,11222.0
65,10.1371/journal.pone.0141559,locatext,mountain area of Taizhou city in Zhejiang province of China,0.0,2304.0
66,10.1371/journal.pone.0141899,locatext,"1·993°E, 42·276°N",2.0,9877.0
67,10.1371/journal.pone.0140423,locatext,"1°08'57"" N, 112°15'37"" E",2.0,7200.0
68,10.1371/journal.pone.0139031,locatext,"between 42.32 N and 42.11 N, and 0.31 W and 0.04 W",0.0,4511.0
69,10.1371/journal.pone.0137569,locatext,40° 10’ S- 73° 26’ W  41° 32’ S- 72° 35’ W,6.0,12040.0
70,10.1371/journal.pone.0136040,locatext,"N 33°58?, E101°53?",2.0,2709.0
71,10.1371/journal.pone.0135917,locatext,"41°17'38” N, 82°13'03” W",68.0,3230.0
72,10.1371/journal.pone.0134560,locatext,"N 33°58?, E101°53?",2.0,2442.0
73,10.1371/journal.pone.0134665,locatext,India,0.0,5463.0
74,10.1371/journal.pone.0133276,locatext,South America,0.0,1601.0
75,10.1371/journal.pone.0118403,locatext,Barro Colorado Island,0.0,7014.0
76,10.1371/journal.pone.0128923,locatext,15° 28’S and 39° 15’W,0.0,9399.0
77,10.1371/journal.pone.0127093,locatext,"Bushbuckridge, South Africa",0.0,4700.0
78,10.1371/journal.pone.0125300,locatext,"116°42?E, 43° 36?N",2.0,2032.0
79,10.1371/journal.pone.0121444,locatext,Kenya,0.0,12694.0
80,10.1371/journal.pone.0121444,locatext,Malawi,0.0,12694.0
81,10.1371/journal.pone.0121444,locatext,Rwanda,0.0,12694.0
82,10.1371/journal.pone.0121444,locatext,Tanzania,0.0,12694.0
83,10.1371/journal.pone.0121444,locatext,Uganda,0.0,12694.0
84,10.1371/journal.pone.0121444,locatext,Zambia,0.0,12694.0
85,10.1371/journal.pone.0118837,locatext,2°4’W 36°52’N,2.0,2723.0
86,10.1371/journal.pone.0115038,locatext,"39°57'53"" N and 115°26'05"" E",0.0,6884.0
87,10.1371/journal.pone.0113964,locatext,"Hainan Island, China",0.0,3007.0
88,10.1371/journal.pone.0111434,locatext,"111°53? E, 23°26? N",2.0,1538.0
89,10.1371/journal.pone.0111742,locatext,"19° 53?–21° 11? N, 90°28?–90°17?W",0.0,3279.0
90,10.1371/journal.pone.0107775,locatext,In Table,17.0,2490.0
91,10.1371/journal.pone.0107792,locatext,Atlantic Forest Biodiversity Hotspot in Brazil,0.0,3440.0
92,10.1371/journal.pone.0075396,locatext,"39° 15' N, 121° 17' W",51.0,2413.0
93,10.1371/journal.pone.0107126,locatext,"Central Highlands of Victoria, Australia",0.0,12771.0
94,10.1371/journal.pone.0105869,locatext,"Zamora River basin, located in the mountain forests in Ecuadorian southern Andes",0.0,4232.0
95,10.1371/journal.pone.0100646,locatext,Nazaré Canyon on the Portuguese continental margin,0.0,4267.0
96,10.1371/journal.pone.0101928,locatext,"50°55? N, 11°35? E",2.0,2951.0
97,10.1371/journal.pone.0102090,locatext,"32°54?N, 35°05?E;  32°58?N, 35°04?E; 32°54?N, 35°06?E",38.0,3077.0
98,10.1371/journal.pone.0097910,locatext," N307591, E858452 (northeast) and N253197, E807411(southwest)",0.0,3309.0
99,10.1371/journal.pone.0099385,locatext,"110°56?E, 31°4?N",1.0,2867.0
100,10.1371/journal.pone.0098931,locatext,"16°04?–16°21?N, 90°40?–91°06?W",0.0,4723.0
101,10.1371/journal.pone.0098454,locatext,"Coatepec region, Veracruz, Mexico",0.0,6167.0
102,10.1371/journal.pone.0098454,locatext,"Huatusco region, Veracruz, Mexico",0.0,6167.0
103,10.1371/journal.pone.0095938,locatext,Changbai Mountain Forest Ecosystem Research Station,0.0,7531.0
104,10.1371/journal.pone.0095890,locatext,"(110°30?E, 25°56?N) (112°56?–113°4?E, 24°30?–24°48?N), (112°30?39?–112°33?41?E,23°09?21?–23°11?30? N) (114°05?–114°23?E,26°22?–26°48? N)",2.0,4401.0
105,10.1371/journal.pone.0095081,locatext,"127°42?55?–128°16?48?E, 41°41?49?–42°25?18?N",0.0,7706.0
106,10.1371/journal.pone.0093733,locatext,"(28°34?23?N, 120°53?44?E)",2.0,1936.0
107,10.1371/journal.pone.0092517,locatext,38°29?N - 9°1?W,2.0,2440.0
108,10.1371/journal.pone.0090513,locatext,"(25° 59? S, 54° 05? W) (26° 02? S, 53° 47? W)",4.0,3190.0
109,10.1371/journal.pone.0089084,locatext,14°39?S to 20°24?S and 143°54?E to 147°30?E,0.0,1712.0
110,10.1371/journal.pone.0081226,locatext,"Pimentel Barbosa Indigenous Reserve, Mato Grosso State, Brazil",0.0,4349.0
111,10.1371/journal.pone.0082468,locatext,"(41°23?–42°36?N, 126°55?–129°00?E), (42°24?N, 128°06?E)",2.0,2407.0
112,10.1371/journal.pone.0082369,locatext,(N-S 13°00' -14°50' and E-W 39°00' -39°30') ,0.0,5806.0
113,10.1371/journal.pone.0079799,locatext,"16° 48.16′ N, 88° 04.94′ W",2.0,1417.0
114,10.1371/journal.pone.0075439,locatext,Baltic Sea,0.0,2749.0
115,10.1371/journal.pone.0074852,locatext,(3°5`W-1° 10`E; 4°35`N-11°N),0.0,5013.0
116,10.1371/journal.pone.0072201,locatext,"41°42??53°34?N, 115°37??135°5?E",0.0,9901.0
117,10.1371/journal.pone.0071735,locatext,French Guiana,0.0,3404.0
118,10.1371/journal.pone.0070547,locatext,"114°37?21?–113°06?48?E, 22°49?00?–22°48?53?N",0.0,3178.0
119,10.1371/journal.pone.0066238,locatext,In Table,2.0,5241.0
120,10.1371/journal.pone.0059356,locatext,Hakalau National Forest Wildlife Refuge,28.0,8223.0
121,10.1371/journal.pone.0049618,locatext,N 29°14.657?and E 118°06.805?,0.0,3866.0
122,10.1371/journal.pone.0052071,locatext,"112°31? E to 112°34? E, 23°09? N to 23°12? N",2.0,6260.0
123,10.1371/journal.pone.0049795,locatext,"51° 21? 24?? N, 3° 42? 51?? E",3.0,2558.0
124,10.1371/journal.pone.0047192,locatext,"1°30?24?? S, 120°2?11?? E",2.0,4332.0
125,10.1371/journal.pone.0045334,locatext,"33°31’S, 25°45’E",2.0,3024.0
126,10.1371/journal.pone.0044925,locatext,"lat 22°50'S, long 44°42'W",2.0,2475.0
127,10.1371/journal.pone.0042833,locatext,"E 116°42?, N 43°38?",2.0,2415.0
128,10.1371/journal.pone.0043943,locatext,Colombia,0.0,11073.0
129,10.1371/journal.pone.0043626,locatext,Thirty-nine sites located in the Atlantic Forest (state of São Paulo,0.0,1861.0
130,10.1371/journal.pone.0042524,locatext,"(18°14?53?N, 67°09?21?W),(18°09’59”N, 66°43?40?W)",4.0,5082.0
131,10.1371/journal.pone.0041270,locatext,40°02?N–3°37?W,2.0,2569.0
132,10.1371/journal.pone.0029469,locatext,"Changbai Nature Reserve, 127°42? to 128°17?E and 41°43? to 42°26?N",0.0,4604.0
133,10.1371/journal.pone.0029152,locatext,"79°N, 04°E, (78°45?N, 04°52?E) ",4.0,3662.0
134,10.1371/journal.pone.0026986,locatext,"45°11?S, 170°98?E, 42°30?S, 173°30?E, 42°25?S, 173°42?E",0.0,1632.0
135,10.1371/journal.pone.0023312,locatext,"20°53?57.1?S, 44°50?11.5?W,",2.0,2234.0
136,10.1371/journal.pone.0022905,locatext,"29°14? N, 118°07? E",2.0,4689.0
137,10.1371/journal.pone.0021265,locatext,"48°N, 65°W",2.0,2216.0
138,10.1371/journal.pone.0018982,locatext,"45°40?N, 61°53?W",1.0,782.0
139,10.1371/journal.pone.0016584,locatext,"Duke University Stream and Wetland Assessment Management Park (SWAMP) along Sandy Creek in the Duke Forest in Durham, NC, USA",314.0,5082.0
140,10.1371/journal.pone.0009677,locatext,"44°39?N, 63°35?W",4.0,10546.0
141,10.1371/journal.pone.0000908,locatext,"8°58?50?S, 36°04?30?W",4.0,15194.0
