doi,title,longitude,latitude,place,no_recorded_place,coordinates,coordinate_type,no_recorded_coordinate,location_type,location_scale,location_reliability,location_conformance,error_type,error_description
"
 10.1371/journal.pone.0052071
","
  Nutrient Limitation on Ecosystem Productivity and Processes of Mature and Old-Growth Subtropical Forests in China
 ",112.56667,23.15,,True,"{'latitude': 23.15, 'longitude': 112.56667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0053009
","
  Resilience in Plant-Herbivore Networks during Secondary Succession
 ",-19.65,19.36667,,True,"{'latitude': 19.36667, 'longitude': -19.65}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0053009
","
  Resilience in Plant-Herbivore Networks during Secondary Succession
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0059356
","
  Forest Restoration and Parasitoid Wasp Communities in Montane Hawai’i
 ",120.0,0.0,,True,"{'latitude': 0.0, 'longitude': 120.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0060756
","
  Impacts of Intensive Logging on the Trophic Organisation of Ant Communities in a Biodiversity Hotspot
 ",117.8,4.96667,,True,"{'latitude': 4.96667, 'longitude': 117.8}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",-2.77194,56.33306,,True,"{'latitude': 56.33306, 'longitude': -2.77194}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",-6.08028,53.52417,,True,"{'latitude': 53.52417, 'longitude': -6.08028}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",7.88333,54.18333,,True,"{'latitude': 54.18333, 'longitude': 7.88333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",7.88333,54.18333,,True,"{'latitude': 54.18333, 'longitude': 7.88333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",-8.85,41.68333,,True,"{'latitude': 41.68333, 'longitude': -8.85}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",-4.45717,50.338,,True,"{'latitude': 50.338, 'longitude': -4.45717}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",-48.73067,48.73067,,True,"{'latitude': 3.98783, 'longitude': -48.73067}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",10.33333,43.5,,True,"{'latitude': 43.5, 'longitude': 10.33333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066238
","
  Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
 ",17.91667,40.21667,,True,"{'latitude': 40.21667, 'longitude': 17.91667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066650
","
  Complex Effects of Ecosystem Engineer Loss on Benthic Ecosystem Response to Detrital Macroalgae
 ",4.01667,51.61667,,True,"{'latitude': 51.61667, 'longitude': 4.01667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066653
","
  Assessing the Response of Nematode Communities to Climate Change-Driven Warming: A Microcosm Experiment
 ",36.0,31.0,,True,"{'latitude': 31.0, 'longitude': 36.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0066653
","
  Assessing the Response of Nematode Communities to Climate Change-Driven Warming: A Microcosm Experiment
 ",36.0,31.0,,True,"{'latitude': 31.0, 'longitude': 36.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0070547
","
  Ecosystem Health Assessment in the Pearl River Estuary of China by Considering Ecosystem Coordination
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0070547
","
  Ecosystem Health Assessment in the Pearl River Estuary of China by Considering Ecosystem Coordination
 ",-22.81472,22.81667,,True,"{'latitude': 22.81667, 'longitude': -22.81472}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0072201
","
  Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China
 ",115.61667,53.56667,,True,"{'latitude': 53.56667, 'longitude': 115.61667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0072201
","
  Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China
 ",122.03333,52.03333,,True,"{'latitude': 52.03333, 'longitude': 122.03333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0072201
","
  Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China
 ",120.1,50.1,,True,"{'latitude': 50.1, 'longitude': 120.1}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0072201
","
  Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China
 ",128.01667,48.03333,,True,"{'latitude': 48.03333, 'longitude': 128.01667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0072201
","
  Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China
 ",127.08333,42.06667,,True,"{'latitude': 42.06667, 'longitude': 127.08333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0075396
","
  Evaluating Ecosystem Services Provided by Non-Native Species: An Experimental Test in California Grasslands
 ",-121.28333,39.25,,True,"{'latitude': 39.25, 'longitude': -121.28333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0079799
","
  Ecology of Caribbean Sponges: Are Top-Down or Bottom-Up Processes More Important?
 ",-88.08233,16.80267,,True,"{'latitude': 16.80267, 'longitude': -88.08233}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082369
","
  Forest Loss and the Biodiversity Threshold: An Evaluation Considering Species Habitat Requirements and the Use of Matrix Habitats
 ",-14.83333,-13.0,,True,"{'latitude': -13.0, 'longitude': -14.83333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082369
","
  Forest Loss and the Biodiversity Threshold: An Evaluation Considering Species Habitat Requirements and the Use of Matrix Habitats
 ",-39.0,39.0,,True,"{'latitude': 39.5, 'longitude': -39.0}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082468
","
  Soil Nematode Responses to Increases in Nitrogen Deposition and Precipitation in a Temperate Forest
 ",-42.6,41.38333,,True,"{'latitude': 41.38333, 'longitude': -42.6}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082468
","
  Soil Nematode Responses to Increases in Nitrogen Deposition and Precipitation in a Temperate Forest
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082468
","
  Soil Nematode Responses to Increases in Nitrogen Deposition and Precipitation in a Temperate Forest
 ",128.1,42.4,,True,"{'latitude': 42.4, 'longitude': 128.1}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082792
","
  Relationships between Plant Diversity and the Abundance and α-Diversity of Predatory Ground Beetles (Coleoptera: Carabidae) in a Mature Asian Temperate Forest Ecosystem
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0082792
","
  Relationships between Plant Diversity and the Abundance and α-Diversity of Predatory Ground Beetles (Coleoptera: Carabidae) in a Mature Asian Temperate Forest Ecosystem
 ",-42.85,41.68333,,True,"{'latitude': 41.68333, 'longitude': -42.85}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0083407
","
  Long-Term Functional Dynamics of an Aphidophagous Coccinellid Community Remain Unchanged despite Repeated Invasions
 ",-85.4,42.4,,True,"{'latitude': 42.4, 'longitude': -85.4}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0085513
","
  Contributions of Understory and/or Overstory Vegetations to Soil Microbial PLFA and Nematode Diversities in Eucalyptus Monocultures
 ",112.83333,22.56667,,True,"{'latitude': 22.56667, 'longitude': 112.83333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0089084
","
  Identifying Priority Areas for Conservation and Management in Diverse Tropical Forests
 ",143.9,-20.4,,True,"{'latitude': -20.4, 'longitude': 143.9}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0090513
","
  Land Planarian Assemblages in Protected Areas of the Interior Atlantic Forest: Implications for Conservation
 ",-54.08333,-25.98333,,True,"{'latitude': -25.98333, 'longitude': -54.08333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0090513
","
  Land Planarian Assemblages in Protected Areas of the Interior Atlantic Forest: Implications for Conservation
 ",-53.78333,-26.03333,,True,"{'latitude': -26.03333, 'longitude': -53.78333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0092517
","
  Ammonium as a Driving Force of Plant Diversity and Ecosystem Functioning: Observations Based on 5 Years' Manipulation of N Dose and Form in a Mediterranean Ecosystem
 ",-9.01667,38.48333,,True,"{'latitude': 38.48333, 'longitude': -9.01667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0093733
","
  Facilitation Drives the Positive Effects of Plant Richness on Trace Metal Removal in a Biodiversity Experiment
 ",120.89556,28.57306,,True,"{'latitude': 28.57306, 'longitude': 120.89556}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095081
","
  The Efficacy of Landscape-Level Conservation in Changbai Mountain Biosphere Reserve, China
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095081
","
  The Efficacy of Landscape-Level Conservation in Changbai Mountain Biosphere Reserve, China
 ",-42.42167,41.69694,,True,"{'latitude': 41.69694, 'longitude': -42.42167}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",110.5,25.93333,,True,"{'latitude': 25.93333, 'longitude': 110.5}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",-24.8,24.5,,True,"{'latitude': 24.5, 'longitude': -24.8}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",-23.19167,23.15583,,True,"{'latitude': 23.15583, 'longitude': -23.19167}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",-999,-999,,True,"{'latitude': -999, 'longitude': -999}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0095890
","
  Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
 ",-26.8,26.36667,,True,"{'latitude': 26.36667, 'longitude': -26.8}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0098931
","
  Conserving Tropical Tree Diversity and Forest Structure: The Value of Small Rainforest Patches in Moderately-Managed Landscapes
 ",-16.35,16.06667,,True,"{'latitude': 16.06667, 'longitude': -16.35}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0098931
","
  Conserving Tropical Tree Diversity and Forest Structure: The Value of Small Rainforest Patches in Moderately-Managed Landscapes
 ",-91.1,90.66667,,True,"{'latitude': 90.66667, 'longitude': -91.1}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0099385
","
  Effects of Fertilization and Clipping on Carbon, Nitrogen Storage, and Soil Microbial Activity in a Natural Grassland in Southern China
 ",110.93333,31.06667,,True,"{'latitude': 31.06667, 'longitude': 110.93333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0101928
","
  Different Assembly Processes Drive Shifts in Species and Functional Composition in Experimental Grasslands Varying in Sown Diversity and Community History
 ",11.58333,50.91667,,True,"{'latitude': 50.91667, 'longitude': 11.58333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08333,32.9,,True,"{'latitude': 32.9, 'longitude': 35.08333}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.06667,32.96667,,True,"{'latitude': 32.96667, 'longitude': 35.06667}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.1,32.9,,True,"{'latitude': 32.9, 'longitude': 35.1}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.07028,32.9307,,True,"{'latitude': 32.9307, 'longitude': 35.07028}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.07247,32.92171,,True,"{'latitude': 32.92171, 'longitude': 35.07247}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.07529,32.92109,,True,"{'latitude': 32.92109, 'longitude': 35.07529}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.0729,32.93653,,True,"{'latitude': 32.93653, 'longitude': 35.0729}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08189,32.91103,,True,"{'latitude': 32.91103, 'longitude': 35.08189}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08323,32.91197,,True,"{'latitude': 32.91197, 'longitude': 35.08323}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08743,32.90841,,True,"{'latitude': 32.90841, 'longitude': 35.08743}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08977,32.91151,,True,"{'latitude': 32.91151, 'longitude': 35.08977}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08723,32.8927,,True,"{'latitude': 32.8927, 'longitude': 35.08723}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08693,32.87921,,True,"{'latitude': 32.87921, 'longitude': 35.08693}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.08306,32.86399,,True,"{'latitude': 32.86399, 'longitude': 35.08306}",Geographic Coordinate System (GCS),False,,,2,,,
"
 10.1371/journal.pone.0102090
","
  Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
 ",35.09069,32.87873,,True,"{'latitude': 32.87873, 'longitude': 35.09069}",Geographic Coordinate System (GCS),False,,,2,,,
