,DOI,parser,correctPlace,accurates,inaccurates
34,10.1371/journal.pone.0106529,mordecai,"50¡55_ N, 11¡35_ E",12.0,4.0
35,10.1371/journal.pone.0104060,mordecai,Ticino near Locarno (southern Switzerland).,8.0,5.0
36,10.1371/journal.pone.0083407,mordecai,"42¡24ÕN, 85¡24ÕW",8.0,41.0
37,10.1371/journal.pone.0066653,mordecai,N: 31° 33.527; W: 114° 17.866,2.0,23.0
38,10.1371/journal.pone.0000295,mordecai,Australia,0.0,26.0
39,10.1371/journal.pone.0000295,mordecai,Sanfrancisco Bay,12.0,14.0
40,10.1371/journal.pone.0000295,mordecai,Wadden Sea,6.0,20.0
41,10.1371/journal.pone.0000295,mordecai,Gulf of the Farallones National Marine Sanctuary,12.0,14.0
42,10.1371/journal.pone.0154613,mordecai,Algiers,2.0,56.0
43,10.1371/journal.pone.0154613,mordecai,Beijing,10.0,48.0
44,10.1371/journal.pone.0154613,mordecai,Beunos Aires,0.0,58.0
45,10.1371/journal.pone.0154613,mordecai,Cairo,2.0,56.0
46,10.1371/journal.pone.0154613,mordecai,Guatemala City,2.0,56.0
47,10.1371/journal.pone.0154613,mordecai,Istanbul,2.0,56.0
48,10.1371/journal.pone.0154613,mordecai,London,6.0,52.0
49,10.1371/journal.pone.0154613,mordecai,Manila,2.0,56.0
50,10.1371/journal.pone.0154613,mordecai,Mexico City,2.0,56.0
51,10.1371/journal.pone.0154613,mordecai,Moscow,2.0,56.0
52,10.1371/journal.pone.0154613,mordecai,Mumbai,4.0,54.0
53,10.1371/journal.pone.0154613,mordecai,Paris,18.0,40.0
54,10.1371/journal.pone.0154613,mordecai,Warsaw,2.0,56.0
55,10.1371/journal.pone.0154613,mordecai,Santiago,0.0,58.0
56,10.1371/journal.pone.0154613,mordecai,Shanghai,2.0,56.0
57,10.1371/journal.pone.0154613,mordecai,Sydney,2.0,56.0
58,10.1371/journal.pone.0152883,mordecai,La Selva Biological Station,5.0,5.0
59,10.1371/journal.pone.0152335,mordecai,"145.44° E, 14.683° S",3.0,8.0
60,10.1371/journal.pone.0150111,mordecai,48°06’– 49°7’ N; 2°23’– 3°32’ W,10.0,4.0
61,10.1371/journal.pone.0145598,mordecai,"0°53S, 52°36W",0.0,4.0
62,10.1371/journal.pone.0147909,mordecai,"52°29’29”W, 22°24’09”S",0.0,40.0
63,10.1371/journal.pone.0141387,mordecai,"4°35?S, 79°42?W",0.0,7.0
64,10.1371/journal.pone.0142784,mordecai,"Latitude: -4.44°, Longitude: 35.40°",4.0,53.0
65,10.1371/journal.pone.0141559,mordecai,mountain area of Taizhou city in Zhejiang province of China,2.0,17.0
66,10.1371/journal.pone.0141899,mordecai,"1·993°E, 42·276°N",3.0,58.0
67,10.1371/journal.pone.0140423,mordecai,"1°08'57"" N, 112°15'37"" E",0.0,29.0
68,10.1371/journal.pone.0139031,mordecai,"between 42.32 N and 42.11 N, and 0.31 W and 0.04 W",6.0,27.0
69,10.1371/journal.pone.0137569,mordecai,40° 10’ S- 73° 26’ W  41° 32’ S- 72° 35’ W,7.0,173.0
70,10.1371/journal.pone.0136040,mordecai,"N 33°58?, E101°53?",0.0,23.0
71,10.1371/journal.pone.0135917,mordecai,"41°17'38” N, 82°13'03” W",14.0,12.0
72,10.1371/journal.pone.0134560,mordecai,"N 33°58?, E101°53?",0.0,31.0
73,10.1371/journal.pone.0134665,mordecai,India,57.0,122.0
74,10.1371/journal.pone.0133276,mordecai,South America,0.0,18.0
75,10.1371/journal.pone.0118403,mordecai,Barro Colorado Island,18.0,10.0
76,10.1371/journal.pone.0128923,mordecai,15° 28’S and 39° 15’W,2.0,16.0
77,10.1371/journal.pone.0127093,mordecai,"Bushbuckridge, South Africa",8.0,15.0
78,10.1371/journal.pone.0125300,mordecai,"116°42?E, 43° 36?N",4.0,15.0
79,10.1371/journal.pone.0121444,mordecai,Kenya,21.0,91.0
80,10.1371/journal.pone.0121444,mordecai,Malawi,5.0,107.0
81,10.1371/journal.pone.0121444,mordecai,Rwanda,7.0,105.0
82,10.1371/journal.pone.0121444,mordecai,Tanzania,15.0,97.0
83,10.1371/journal.pone.0121444,mordecai,Uganda,11.0,101.0
84,10.1371/journal.pone.0121444,mordecai,Zambia,9.0,103.0
85,10.1371/journal.pone.0118837,mordecai,2°4’W 36°52’N,2.0,23.0
86,10.1371/journal.pone.0115038,mordecai,"39°57'53"" N and 115°26'05"" E",3.0,10.0
87,10.1371/journal.pone.0114015,mordecai,8° 28? 50?N 83° 35? 20?W,4.0,6.0
88,10.1371/journal.pone.0113964,mordecai,"Hainan Island, China",33.0,8.0
89,10.1371/journal.pone.0111434,mordecai,"111°53? E, 23°26? N",6.0,4.0
90,10.1371/journal.pone.0111742,mordecai,"19° 53?–21° 11? N, 90°28?–90°17?W",0.0,4.0
91,10.1371/journal.pone.0107775,mordecai,In Table,2.0,35.0
92,10.1371/journal.pone.0107792,mordecai,Atlantic Forest Biodiversity Hotspot in Brazil,0.0,21.0
93,10.1371/journal.pone.0075396,mordecai,"39° 15' N, 121° 17' W",0.0,21.0
94,10.1371/journal.pone.0107126,mordecai,"Central Highlands of Victoria, Australia",2.0,27.0
95,10.1371/journal.pone.0105869,mordecai,"Zamora River basin, located in the mountain forests in Ecuadorian southern Andes",2.0,35.0
96,10.1371/journal.pone.0100646,mordecai,Nazaré Canyon on the Portuguese continental margin,6.0,5.0
97,10.1371/journal.pone.0101928,mordecai,"50°55? N, 11°35? E",8.0,3.0
98,10.1371/journal.pone.0102090,mordecai,"32°54?N, 35°05?E;  32°58?N, 35°04?E; 32°54?N, 35°06?E",56.0,25.0
99,10.1371/journal.pone.0097910,mordecai," N307591, E858452 (northeast) and N253197, E807411(southwest)",3.0,15.0
100,10.1371/journal.pone.0099385,mordecai,"110°56?E, 31°4?N",0.0,14.0
101,10.1371/journal.pone.0098931,mordecai,"16°04?–16°21?N, 90°40?–91°06?W",0.0,60.0
102,10.1371/journal.pone.0098454,mordecai,"Coatepec region, Veracruz, Mexico",72.0,34.0
103,10.1371/journal.pone.0098454,mordecai,"Huatusco region, Veracruz, Mexico",72.0,34.0
104,10.1371/journal.pone.0095938,mordecai,Changbai Mountain Forest Ecosystem Research Station,2.0,2.0
105,10.1371/journal.pone.0095890,mordecai,"(110°30?E, 25°56?N) (112°56?–113°4?E, 24°30?–24°48?N), (112°30?39?–112°33?41?E,23°09?21?–23°11?30? N) (114°05?–114°23?E,26°22?–26°48? N)",0.0,13.0
106,10.1371/journal.pone.0095081,mordecai,"127°42?55?–128°16?48?E, 41°41?49?–42°25?18?N",2.0,29.0
107,10.1371/journal.pone.0093733,mordecai,"(28°34?23?N, 120°53?44?E)",0.0,27.0
108,10.1371/journal.pone.0092517,mordecai,38°29?N - 9°1?W,4.0,11.0
109,10.1371/journal.pone.0090513,mordecai,"(25° 59? S, 54° 05? W) (26° 02? S, 53° 47? W)",0.0,18.0
110,10.1371/journal.pone.0089084,mordecai,14°39?S to 20°24?S and 143°54?E to 147°30?E,6.0,16.0
111,10.1371/journal.pone.0081226,mordecai,"Pimentel Barbosa Indigenous Reserve, Mato Grosso State, Brazil",0.0,46.0
112,10.1371/journal.pone.0082468,mordecai,"(41°23?–42°36?N, 126°55?–129°00?E), (42°24?N, 128°06?E)",6.0,28.0
113,10.1371/journal.pone.0082369,mordecai,(N-S 13°00' -14°50' and E-W 39°00' -39°30') ,0.0,12.0
114,10.1371/journal.pone.0079799,mordecai,"16° 48.16′ N, 88° 04.94′ W",7.0,6.0
115,10.1371/journal.pone.0075439,mordecai,Baltic Sea,0.0,26.0
116,10.1371/journal.pone.0074852,mordecai,(3°5`W-1° 10`E; 4°35`N-11°N),0.0,40.0
117,10.1371/journal.pone.0072201,mordecai,"41°42??53°34?N, 115°37??135°5?E",0.0,65.0
118,10.1371/journal.pone.0071735,mordecai,French Guiana,0.0,58.0
119,10.1371/journal.pone.0070547,mordecai,"114°37?21?–113°06?48?E, 22°49?00?–22°48?53?N",0.0,37.0
120,10.1371/journal.pone.0066238,mordecai,In Table,0.0,163.0
121,10.1371/journal.pone.0059356,mordecai,Hakalau National Forest Wildlife Refuge,10.0,33.0
122,10.1371/journal.pone.0049618,mordecai,N 29°14.657?and E 118°06.805?,0.0,24.0
123,10.1371/journal.pone.0052071,mordecai,"112°31? E to 112°34? E, 23°09? N to 23°12? N",2.0,25.0
124,10.1371/journal.pone.0049795,mordecai,"51° 21? 24?? N, 3° 42? 51?? E",10.0,12.0
125,10.1371/journal.pone.0047192,mordecai,"1°30?24?? S, 120°2?11?? E",6.0,13.0
126,10.1371/journal.pone.0045334,mordecai,"33°31’S, 25°45’E",4.0,7.0
127,10.1371/journal.pone.0044925,mordecai,"lat 22°50'S, long 44°42'W",0.0,14.0
128,10.1371/journal.pone.0042833,mordecai,"E 116°42?, N 43°38?",10.0,7.0
129,10.1371/journal.pone.0043943,mordecai,Colombia,0.0,170.0
130,10.1371/journal.pone.0043626,mordecai,Thirty-nine sites located in the Atlantic Forest (state of São Paulo,0.0,7.0
131,10.1371/journal.pone.0042524,mordecai,"(18°14?53?N, 67°09?21?W),(18°09’59”N, 66°43?40?W)",2.0,28.0
132,10.1371/journal.pone.0041270,mordecai,40°02?N–3°37?W,8.0,5.0
133,10.1371/journal.pone.0029469,mordecai,"Changbai Nature Reserve, 127°42? to 128°17?E and 41°43? to 42°26?N",8.0,15.0
134,10.1371/journal.pone.0029152,mordecai,"79°N, 04°E, (78°45?N, 04°52?E) ",0.0,9.0
135,10.1371/journal.pone.0026986,mordecai,"45°11?S, 170°98?E, 42°30?S, 173°30?E, 42°25?S, 173°42?E",0.0,37.0
136,10.1371/journal.pone.0023312,mordecai,"20°53?57.1?S, 44°50?11.5?W,",0.0,12.0
137,10.1371/journal.pone.0022905,mordecai,"29°14? N, 118°07? E",0.0,11.0
138,10.1371/journal.pone.0021265,mordecai,"48°N, 65°W",4.0,32.0
139,10.1371/journal.pone.0018982,mordecai,"45°40?N, 61°53?W",2.0,4.0
140,10.1371/journal.pone.0016584,mordecai,"Duke University Stream and Wetland Assessment Management Park (SWAMP) along Sandy Creek in the Duke Forest in Durham, NC, USA",8.0,28.0
141,10.1371/journal.pone.0009677,mordecai,"44°39?N, 63°35?W",30.0,158.0
142,10.1371/journal.pone.0000908,mordecai,"8°58?50?S, 36°04?30?W",4.0,106.0
143,10.1371/journal.pone.0119922,spacy,Northeast Shelf Large Marine Ecosystem (NES LME),0.0,12.0
144,10.1371/journal.pone.0053139,spacy,"The European Alps span eight countries, from the Mediterranean shores of Southern France to Slovenia and link with adjacent mountain ranges such as the Carpathians, Balkans and Apennines.",0.0,71.0
145,10.1371/journal.pone.0147058,spacy,"state of Paraná, southern Brazil, which is located between latitudes 22°29’30”S and 26°42’59”S; and longitudes 48°02’24”W and 54°37’38”W",0.0,6.0
146,10.1371/journal.pone.0111883,spacy,"On the island, the study areas were within the Lagoa do Peri Municipal Park (PER, 27¡43_30_S, 48¡32_18_W) and the Permanent Protection Area of Ratones (RAT, 27¡31_52_S, 48¡30_45_W). On the mainland, the areas sampled were within the Environmental Protection Area of Anhatomirim in Governador Celso Ramos city (ANH, 27¡25_1_S, 48¡34_25_W), and in Permanent Protection Area in Itapema city (ITA, 27¡05_13_S, 48¡35_54_W).Ê",0.0,2.0
147,10.1371/journal.pone.0102437,spacy,"The Houguanhu Region (113°41′–114°13′E, 30°15′–30°41′N) lies within the southwestern Wuhan city of Hubei Province in central China",0.0,26.0
148,10.1371/journal.pone.0060756,spacy,"(4¡ 58_N, 117¡ 48_E",2.0,21.0
149,10.1371/journal.pone.0049024,spacy,"34¡55_N, 102¡53_E;",0.0,3.0
150,10.1371/journal.pone.0027785,spacy,"Kakamega Forest in western Kenya (0¡07_Ð0¡27_ N, 34¡46_Ð34¡57_ E)",9.0,31.0
151,10.1371/journal.pone.0038970,spacy,The research was conducted at eight sites in the Iberian Peninsula,2.0,44.0
152,10.1371/journal.pone.0021972,spacy,"latitude 50¡ 55_ 48_, longitude 6¡ 55_ 12_",0.0,18.0
153,10.1371/journal.pone.0112436,spacy,"This study was carried out at the Huanjiang Observation and Research Station for Karst Ecosystems (107°51′–108°43′E, 24°44′–25°33′N), Chinese Academy of Sciences (CAS), Guangxi Province, China",0.0,26.0
154,10.1371/journal.pone.0154026,spacy,The study area ranges from 34¡25_N to 48¡10_N in latitude and from 73¡40_E to 96¡18_E in longitude,0.0,116.0
155,10.1371/journal.pone.0150520,spacy,71¡23Õ28ÓW 12¡47Õ21ÓS,0.0,18.0
156,10.1371/journal.pone.0118580,spacy,"Mobile Bay, Alabama",0.0,18.0
157,10.1371/journal.pone.0123160,spacy,"44¡45_N, 123¡45_E",0.0,6.0
158,10.1371/journal.pone.0123030,spacy,"Ê27¼25Õ1ÓS, 48¼34Õ25ÓW), and the other in a Permanent Protection Area in the municipality of Itapema (ITA, 27¼05Õ13ÓS, 48¼35Õ54ÓW). On the island, one study areas lies within the Lagoa do Peri Municipal Park (PER, 27¡43Õ30ÓS, 48¡32Õ18ÓW) and the other in the Permanent Protection Area of Ratones (RAT, 27¡31Õ52ÓS, 48¡30Õ45ÓW",0.0,3.0
159,10.1371/journal.pone.0085513,spacy,"112¡50_E, 22¡34_N",0.0,34.0
160,10.1371/journal.pone.0084568,spacy,"Upper Paraná River Floodplain Long Term Ecological Research (LTER) program’s field station located at the Upper Paraná River floodplain, Brazil.",0.0,0.0
161,10.1371/journal.pone.0082792,spacy,"Changbai Mountain (E 127¡43_ Ð128¡16_; N 41¡41_ Ð42¡51_) in Jilin Province, North-eastern China",0.0,33.0
162,10.1371/journal.pone.0066650,spacy,"51¡ 37_ 00__ N, 4¡ 01_ 00__ E",2.0,74.0
163,10.1371/journal.pone.0058432,spacy,"Dawu Village, Maqin Country of Guoluo Tibetan Autonomous Prefecture, Qinghai Province, China",0.0,8.0
164,10.1371/journal.pone.0052821,spacy,"Cedar Creek Natural History area, a National Science Foundation, Long-Term Ecological Research site in Minnesota, USA (lat. 45° N, Long. 93° W)",0.0,2.0
165,10.1371/journal.pone.0053009,spacy,"Chamela-Cuixmala Biosphere Reserve (CCBR, 19¡22_Ð19¡39_N, 104¡56_Ð105¡10_W)",0.0,2.0
166,10.1371/journal.pone.0042354,spacy,"Gongga Mountain (29¡20_Ð30¡20_N, 101¡30_Ð102¡15_E",0.0,62.0
167,10.1371/journal.pone.0040679,spacy,a 150-km long transect (18¡37_16NÐ92¡42_28W to 18¡30_20NÐ91¡28_03W),0.0,28.0
168,10.1371/journal.pone.0036196,spacy," University of North Carolina at Chapel Hill’s Institute of Marine Sciences (IMS) in Morehead City, NC",0.0,10.0
169,10.1371/journal.pone.0030506,spacy,"16¡39.49_N, 95¡0.66_W",0.0,3.0
170,10.1371/journal.pone.0024107,spacy,Ranomafana National Park (RNP) is located between 47¡ 18_Ð47¡ 37_E and 21¡ 02_Ð21¡ 25 SÊ,22.0,16.0
171,10.1371/journal.pone.0020078,spacy,"E 116¡42_, N 43¡38_,",2.0,10.0
172,10.1371/journal.pone.0017476,spacy,German site of the BIODEPTH project,0.0,6.0
173,10.1371/journal.pone.0013666,spacy," Atlantic Plateau of São Paulo, Brazil",0.0,0.0
174,10.1371/journal.pone.0013382,spacy,"50¡57_3.09_N, 11¡37_23.49_E",0.0,12.0
175,10.1371/journal.pone.0146228,spacy,"45¡03ÕN, 142¡07ÕE",2.0,7.0
176,10.1371/journal.pone.0138696,spacy,coral communities of Moorea Island (French Polynesia),1.0,27.0
177,10.1371/journal.pone.0106529,spacy,"50¡55_ N, 11¡35_ E",0.0,0.0
178,10.1371/journal.pone.0104060,spacy,Ticino near Locarno (southern Switzerland).,0.0,14.0
179,10.1371/journal.pone.0083407,spacy,"42¡24ÕN, 85¡24ÕW",0.0,18.0
180,10.1371/journal.pone.0066653,spacy,N: 31° 33.527; W: 114° 17.866,0.0,4.0
181,10.1371/journal.pone.0000295,spacy,Australia,0.0,64.0
182,10.1371/journal.pone.0000295,spacy,Sanfrancisco Bay,8.0,56.0
183,10.1371/journal.pone.0000295,spacy,Wadden Sea,30.0,34.0
184,10.1371/journal.pone.0000295,spacy,Gulf of the Farallones National Marine Sanctuary,8.0,56.0
185,10.1371/journal.pone.0154613,spacy,Algiers,2.0,70.0
186,10.1371/journal.pone.0154613,spacy,Beijing,0.0,72.0
187,10.1371/journal.pone.0154613,spacy,Beunos Aires,0.0,72.0
188,10.1371/journal.pone.0154613,spacy,Cairo,0.0,72.0
189,10.1371/journal.pone.0154613,spacy,Guatemala City,2.0,70.0
190,10.1371/journal.pone.0154613,spacy,Istanbul,0.0,72.0
191,10.1371/journal.pone.0154613,spacy,London,0.0,72.0
192,10.1371/journal.pone.0154613,spacy,Manila,2.0,70.0
193,10.1371/journal.pone.0154613,spacy,Mexico City,2.0,70.0
194,10.1371/journal.pone.0154613,spacy,Moscow,0.0,72.0
195,10.1371/journal.pone.0154613,spacy,Mumbai,4.0,68.0
196,10.1371/journal.pone.0154613,spacy,Paris,0.0,72.0
197,10.1371/journal.pone.0154613,spacy,Warsaw,0.0,72.0
198,10.1371/journal.pone.0154613,spacy,Santiago,0.0,72.0
199,10.1371/journal.pone.0154613,spacy,Shanghai,0.0,72.0
200,10.1371/journal.pone.0154613,spacy,Sydney,0.0,72.0
201,10.1371/journal.pone.0152883,spacy,La Selva Biological Station,3.0,16.0
202,10.1371/journal.pone.0152335,spacy,"145.44° E, 14.683° S",0.0,3.0
203,10.1371/journal.pone.0150111,spacy,48°06’– 49°7’ N; 2°23’– 3°32’ W,2.0,14.0
204,10.1371/journal.pone.0145598,spacy,"0°53S, 52°36W",0.0,0.0
205,10.1371/journal.pone.0147909,spacy,"52°29’29”W, 22°24’09”S",0.0,46.0
206,10.1371/journal.pone.0141387,spacy,"4°35?S, 79°42?W",0.0,0.0
207,10.1371/journal.pone.0142784,spacy,"Latitude: -4.44°, Longitude: 35.40°",4.0,81.0
208,10.1371/journal.pone.0141559,spacy,mountain area of Taizhou city in Zhejiang province of China,4.0,20.0
209,10.1371/journal.pone.0141899,spacy,"1·993°E, 42·276°N",4.0,67.0
210,10.1371/journal.pone.0140423,spacy,"1°08'57"" N, 112°15'37"" E",0.0,36.0
211,10.1371/journal.pone.0139031,spacy,"between 42.32 N and 42.11 N, and 0.31 W and 0.04 W",31.0,46.0
212,10.1371/journal.pone.0137569,spacy,40° 10’ S- 73° 26’ W  41° 32’ S- 72° 35’ W,0.0,0.0
213,10.1371/journal.pone.0136040,spacy,"N 33°58?, E101°53?",0.0,32.0
214,10.1371/journal.pone.0135917,spacy,"41°17'38” N, 82°13'03” W",0.0,40.0
215,10.1371/journal.pone.0134560,spacy,"N 33°58?, E101°53?",0.0,2.0
216,10.1371/journal.pone.0134665,spacy,India,0.0,283.0
217,10.1371/journal.pone.0133276,spacy,South America,0.0,21.0
218,10.1371/journal.pone.0118403,spacy,Barro Colorado Island,0.0,30.0
219,10.1371/journal.pone.0128923,spacy,15° 28’S and 39° 15’W,2.0,42.0
220,10.1371/journal.pone.0127093,spacy,"Bushbuckridge, South Africa",13.0,15.0
221,10.1371/journal.pone.0125300,spacy,"116°42?E, 43° 36?N",2.0,29.0
222,10.1371/journal.pone.0121444,spacy,Kenya,2.0,240.0
223,10.1371/journal.pone.0121444,spacy,Malawi,0.0,242.0
224,10.1371/journal.pone.0121444,spacy,Rwanda,0.0,242.0
225,10.1371/journal.pone.0121444,spacy,Tanzania,0.0,242.0
226,10.1371/journal.pone.0121444,spacy,Uganda,0.0,242.0
227,10.1371/journal.pone.0121444,spacy,Zambia,0.0,242.0
228,10.1371/journal.pone.0118837,spacy,2°4’W 36°52’N,0.0,0.0
229,10.1371/journal.pone.0115038,spacy,"39°57'53"" N and 115°26'05"" E",0.0,18.0
230,10.1371/journal.pone.0114015,spacy,8° 28? 50?N 83° 35? 20?W,2.0,18.0
231,10.1371/journal.pone.0113964,spacy,"Hainan Island, China",0.0,45.0
232,10.1371/journal.pone.0111434,spacy,"111°53? E, 23°26? N",2.0,9.0
233,10.1371/journal.pone.0111742,spacy,"19° 53?–21° 11? N, 90°28?–90°17?W",0.0,0.0
234,10.1371/journal.pone.0107775,spacy,In Table,0.0,7.0
235,10.1371/journal.pone.0107792,spacy,Atlantic Forest Biodiversity Hotspot in Brazil,0.0,36.0
236,10.1371/journal.pone.0075396,spacy,"39° 15' N, 121° 17' W",0.0,40.0
237,10.1371/journal.pone.0107126,spacy,"Central Highlands of Victoria, Australia",2.0,54.0
238,10.1371/journal.pone.0105869,spacy,"Zamora River basin, located in the mountain forests in Ecuadorian southern Andes",0.0,8.0
239,10.1371/journal.pone.0100646,spacy,Nazaré Canyon on the Portuguese continental margin,0.0,1.0
240,10.1371/journal.pone.0101928,spacy,"50°55? N, 11°35? E",6.0,9.0
241,10.1371/journal.pone.0102090,spacy,"32°54?N, 35°05?E;  32°58?N, 35°04?E; 32°54?N, 35°06?E",23.0,53.0
242,10.1371/journal.pone.0097910,spacy," N307591, E858452 (northeast) and N253197, E807411(southwest)",3.0,19.0
243,10.1371/journal.pone.0099385,spacy,"110°56?E, 31°4?N",0.0,16.0
244,10.1371/journal.pone.0098931,spacy,"16°04?–16°21?N, 90°40?–91°06?W",0.0,0.0
245,10.1371/journal.pone.0098454,spacy,"Coatepec region, Veracruz, Mexico",65.0,66.0
246,10.1371/journal.pone.0098454,spacy,"Huatusco region, Veracruz, Mexico",65.0,66.0
247,10.1371/journal.pone.0095938,spacy,Changbai Mountain Forest Ecosystem Research Station,0.0,49.0
248,10.1371/journal.pone.0095890,spacy,"(110°30?E, 25°56?N) (112°56?–113°4?E, 24°30?–24°48?N), (112°30?39?–112°33?41?E,23°09?21?–23°11?30? N) (114°05?–114°23?E,26°22?–26°48? N)",0.0,1.0
249,10.1371/journal.pone.0095081,spacy,"127°42?55?–128°16?48?E, 41°41?49?–42°25?18?N",0.0,42.0
250,10.1371/journal.pone.0093733,spacy,"(28°34?23?N, 120°53?44?E)",2.0,31.0
251,10.1371/journal.pone.0092517,spacy,38°29?N - 9°1?W,0.0,15.0
252,10.1371/journal.pone.0090513,spacy,"(25° 59? S, 54° 05? W) (26° 02? S, 53° 47? W)",0.0,8.0
253,10.1371/journal.pone.0089084,spacy,14°39?S to 20°24?S and 143°54?E to 147°30?E,0.0,12.0
254,10.1371/journal.pone.0081226,spacy,"Pimentel Barbosa Indigenous Reserve, Mato Grosso State, Brazil",6.0,54.0
