doi,title,journal,publisher,year,vol,issue,xmlfile,pdffile
"
10.1371/journal.pone.0142798
   ","
 Polyglutamylated Tubulin Binding Protein C1orf96/CSAP Is Involved in Microtubule Stabilization in Mitotic Spindles
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014279.xml,
"
10.1371/journal.pone.0142821
   ","
 Evaluation of the 
 
  Leptospira interrogans
  Outer Membrane Protein OmpL37 as a Vaccine Candidate
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014282.xml,
"
10.1371/journal.pone.0142837
   ","
 Efficient Reconstruction of Heterogeneous Networks from Time Series via Compressed Sensing
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014283.xml,
"
10.1371/journal.pone.0142850
   ","
 A Keystone Ant Species Provides Robust Biological Control of the Coffee Berry Borer Under Varying Pest Densities
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014285.xml,
"
10.1371/journal.pone.0142883
   ","
 Investigating the Role of the Host Multidrug Resistance Associated Protein Transporter Family in 
 
  Burkholderia cepacia
  Complex Pathogenicity Using a 
 
  Caenorhabditis elegans
  Infection Model
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014288.xml,
"
10.1371/journal.pone.0142910
   ","
 Axial Diffusivity of the Corona Radiata at 24 Hours Post-Stroke: A New Biomarker for Motor and Global Outcome
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014291.xml,
"
10.1371/journal.pone.0142924
   ","
 Characterization of FGF23-Dependent Egr-1 Cistrome in the Mouse Renal Proximal Tubule
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014292.xml,
"
10.1371/journal.pone.0142935
   ","
 RabGEF1/Rabex-5 Regulates TrkA-Mediated Neurite Outgrowth and NMDA-Induced Signaling Activation in NGF-Differentiated PC12 Cells
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014293.xml,
"
10.1371/journal.pone.0142941
   ","
 Does the Biosocial Model Explain the Emergence of Status Differences in Conversations among Unacquainted Men?
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014294.xml,
"
10.1371/journal.pone.0142972
   ","
 Dendritic Cell-Specific Deletion of ?-Catenin Results in Fewer Regulatory T-Cells without Exacerbating Autoimmune Collagen-Induced Arthritis
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014297.xml,
"
10.1371/journal.pone.0143079
   ","
 Candidate Gene Analysis of Mortality in Dialysis Patients
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014307.xml,
"
10.1371/journal.pone.0143094
   ","
 Pathology of Equine Influenza virus (H3N8) in Murine Model
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014309.xml,
"
10.1371/journal.pone.0143100
   ","
 High Prevalence of Antibodies against the Bacterium 
 
  Treponema pallidum
  in Senegalese Guinea Baboons (
 
  Papio papio
 )
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014310.xml,
"
10.1371/journal.pone.0143131
   ","
 Lacrimal Cytokines Assessment in Subjects Exposed to Different Levels of Ambient Air Pollution in a Large Metropolitan Area
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014313.xml,
"
10.1371/journal.pone.0143143
   ","
 Effects of Low-Dose Diethylstilbestrol Exposure on DNA Methylation in Mouse Spermatocytes
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014314.xml,
"
10.1371/journal.pone.0143151
   ","
 Benefits for Voice Learning Caused by Concurrent Faces Develop over Time
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014315.xml,
"
10.1371/journal.pone.0143174
   ","
 Gelsolin-Like Domain 3 Plays Vital Roles in Regulating the Activities of the Lily Villin/Gelsolin/Fragmin Superfamily
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014317.xml,
"
10.1371/journal.pone.0143181
   ","
 Dynamic Proteomic Characteristics and Network Integration Revealing Key Proteins for Two Kernel Tissue Developments in Popcorn
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014318.xml,
"
10.1371/journal.pone.0143207
   ","
 Intra-Tumoral Heterogeneity of HER2, FGFR2, cMET and ATM in Gastric Cancer: Optimizing Personalized Healthcare through Innovative Pathological and Statistical Analysis
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014320.xml,
"
10.1371/journal.pone.0143212
   ","
 GWA Mapping of Anthocyanin Accumulation Reveals Balancing Selection of 
 
  MYB90
  in 
 
  Arabidopsis thaliana
 
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014321.xml,
"
10.1371/journal.pone.0143227
   ","
 Evolutionary Loss of Activity in De-Ubiquitylating Enzymes of the OTU Family
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014322.xml,
"
10.1371/journal.pone.0143233
   ","
 Upper Airway Changes after Orthodontic Extraction Treatment in Adults: A Preliminary Study using Cone Beam Computed Tomography
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014323.xml,
"
10.1371/journal.pone.0143248
   ","
 Preeclampsia and Retinopathy of Prematurity in Very-Low-Birth-Weight Infants: A Population-Based Study
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014324.xml,
"
10.1371/journal.pone.0143252
   ","
 Extended Anticoagulant and Aspirin Treatment for the Secondary Prevention of Thromboembolic Disease: A Systematic Review and Meta-Analysis
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014325.xml,
"
10.1371/journal.pone.0143265
   ","
 Correction: Base Station Placement Algorithm for Large-Scale LTE Heterogeneous Networks
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014326.xml,
"
10.1371/journal.pone.0143277
   ","
 Bromoenol Lactone Attenuates Nicotine-Induced Breast Cancer Cell Proliferation and Migration
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014327.xml,
"
10.1371/journal.pone.0143300
   ","
 Hydrodynamic and Sediment Responses of Open Channels to Exposed Pipe Encasements
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014330.xml,
"
10.1371/journal.pone.0143316
   ","
 Hunner-Type (Classic) Interstitial Cystitis: A Distinct Inflammatory Disorder Characterized by Pancystitis, with Frequent Expansion of Clonal B-Cells and Epithelial Denudation
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014331.xml,
"
10.1371/journal.pone.0143335
   ","
 Multilocus Sequence Typing and Virulence Profiles in Uropathogenic 
 
  Escherichia coli
  Isolated from Cats in the United States
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014333.xml,
"
10.1371/journal.pone.0143348
   ","
 Association of Erythropoietin-Stimulating Agent Responsiveness with Mortality in Hemodialysis and Peritoneal Dialysis Patients
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014334.xml,
"
10.1371/journal.pone.0143386
   ","
 Early Gelatinase Activity Is Not a Determinant of Long-Term Recovery after Traumatic Brain Injury in the Immature Mouse
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014338.xml,
"
10.1371/journal.pone.0143403
   ","
 Continuous Exposure to Low-Dose-Rate Gamma Irradiation Reduces Airway Inflammation in Ovalbumin-Induced Asthma
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014340.xml,
"
10.1371/journal.pone.0143418
   ","
 Annotation of Differential Gene Expression in Small Yellow Follicles of a Broiler-Type Strain of Taiwan Country Chickens in Response to Acute Heat Stress
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014341.xml,
"
10.1371/journal.pone.0143432
   ","
 Combinations of Genetic Data Present in Bipolar Patients, but Absent in Control Persons
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014343.xml,
"
10.1371/journal.pone.0143446
   ","
 MALDI-TOF Mass Spectrometry for Multilocus Sequence Typing of 
 
  Escherichia coli
  Reveals Diversity among Isolates Carrying 
 
  bla
 
CMY-2-Like Genes
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014344.xml,
"
10.1371/journal.pone.0143525
   ","
 Unusually Large Number of Mutations in Asexually Reproducing Clonal Planarian 
 
  Dugesia japonica
 
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014352.xml,
"
10.1371/journal.pone.0143591
   ","

  SOX18
  Is a Novel Target Gene of Hedgehog Signaling in Cervical Carcinoma Cell Lines
","
 PLOS ONE
","
 Public Library of Science
","
 2015
","
10
   ","
11
   ",/Users/jason/Google Drive/JournalMap/PLOSxml/journal.pone.014359.xml,
